personnel_code,unit_code,weekly_duty_hours,consecutive_duty_days,leave_days_last_90,night_shift_ratio,deployment_months_last_year,transfer_count_last_2yr,training_load_hours,overdue_leave_flag,stress_level,mood,sleep_quality,fatigue_level,perceived_workload,burnout_index,stress_label,data_source
PID-00194,UNIT-37,72.5,7,0,0.07,8.6,1,29.3,True,2,2,3,3,4,0.563,1,SYNTHETIC_DEMO_DATA
PID-00195,UNIT-27,36.5,4,9,0.04,0.2,2,16.0,False,3,4,4,2,2,0.27,0,SYNTHETIC_DEMO_DATA
PID-00196,UNIT-13,39.5,7,7,0.31,0.3,2,10.4,False,3,4,4,2,3,0.342,0,SYNTHETIC_DEMO_DATA
PID-00197,UNIT-11,61.0,9,16,0.25,3.1,3,35.4,False,4,5,3,3,3,0.426,0,SYNTHETIC_DEMO_DATA
PID-00198,UNIT-04,46.5,11,9,0.23,4.9,0,28.7,False,3,3,3,3,4,0.515,0,SYNTHETIC_DEMO_DATA
PID-00199,UNIT-11,51.9,5,1,0.43,3.5,1,21.5,False,2,4,4,3,3,0.451,0,SYNTHETIC_DEMO_DATA
PID-00200,UNIT-14,49.7,7,7,0.42,6.9,2,34.7,False,3,2,3,3,3,0.542,1,SYNTHETIC_DEMO_DATA
PID-00201,UNIT-09,56.7,14,0,0.03,8.3,2,20.8,True,2,3,4,2,3,0.372,0,SYNTHETIC_DEMO_DATA
PID-00202,UNIT-27,71.7,5,1,0.3,5.8,0,13.8,True,2,3,4,4,3,0.545,0,SYNTHETIC_DEMO_DATA
PID-00203,UNIT-11,53.3,6,12,0.38,6.7,1,10.0,False,3,3,3,2,3,0.452,0,SYNTHETIC_DEMO_DATA
PID-00204,UNIT-20,61.0,9,7,0.09,5.8,0,18.9,False,3,3,5,3,3,0.296,0,SYNTHETIC_DEMO_DATA
PID-00205,UNIT-23,30.0,7,14,0.02,5.0,1,27.7,False,3,5,4,3,2,0.426,0,SYNTHETIC_DEMO_DATA
PID-00206,UNIT-03,51.3,9,0,0.43,1.1,2,33.9,True,3,3,3,3,3,0.435,0,SYNTHETIC_DEMO_DATA
PID-00207,UNIT-07,40.2,10,7,0.44,1.9,1,20.2,False,2,3,4,2,4,0.371,0,SYNTHETIC_DEMO_DATA
PID-00208,UNIT-03,34.9,6,6,0.18,0.9,3,32.1,False,2,3,4,2,2,0.428,0,SYNTHETIC_DEMO_DATA
PID-00209,UNIT-28,39.7,4,14,0.13,4.6,1,17.9,False,2,4,4,3,4,0.428,0,SYNTHETIC_DEMO_DATA
PID-00210,UNIT-28,47.3,6,13,0.33,5.7,0,12.2,False,2,4,4,3,3,0.337,0,SYNTHETIC_DEMO_DATA
PID-00211,UNIT-06,64.8,2,12,0.21,0.7,0,6.9,False,3,3,4,2,4,0.322,0,SYNTHETIC_DEMO_DATA
PID-00212,UNIT-30,33.4,5,18,0.25,5.2,0,14.9,False,1,4,5,3,2,0.388,0,SYNTHETIC_DEMO_DATA
PID-00213,UNIT-33,52.4,6,6,0.04,2.4,1,7.3,False,3,3,4,2,1,0.304,0,SYNTHETIC_DEMO_DATA
PID-00214,UNIT-05,45.2,5,17,0.08,1.8,2,40.1,False,3,4,3,3,2,0.395,0,SYNTHETIC_DEMO_DATA
PID-00215,UNIT-05,47.4,9,2,0.27,3.1,0,24.4,True,4,3,3,2,2,0.387,1,SYNTHETIC_DEMO_DATA
PID-00216,UNIT-32,66.0,4,2,0.23,1.6,1,19.0,False,3,3,4,3,2,0.47,1,SYNTHETIC_DEMO_DATA
PID-00217,UNIT-13,59.5,8,13,0.46,6.8,0,37.2,False,3,3,3,3,2,0.416,0,SYNTHETIC_DEMO_DATA
PID-00218,UNIT-14,70.7,6,0,0.17,4.5,3,7.0,True,3,4,3,4,4,0.623,0,SYNTHETIC_DEMO_DATA
PID-00219,UNIT-24,49.8,5,12,0.06,7.4,1,18.6,False,2,4,3,3,1,0.425,0,SYNTHETIC_DEMO_DATA
PID-00220,UNIT-03,42.3,10,9,0.22,3.7,1,40.0,False,3,4,4,2,3,0.352,0,SYNTHETIC_DEMO_DATA
PID-00221,UNIT-18,48.9,6,15,0.34,3.8,1,18.6,False,2,5,5,3,4,0.356,0,SYNTHETIC_DEMO_DATA
PID-00222,UNIT-14,55.4,4,8,0.22,10.6,1,44.5,False,3,3,3,4,2,0.594,0,SYNTHETIC_DEMO_DATA
PID-00223,UNIT-33,54.5,3,9,0.64,0.1,0,27.9,False,3,4,4,3,3,0.413,0,SYNTHETIC_DEMO_DATA
PID-00224,UNIT-30,36.8,4,12,0.66,8.9,3,33.1,False,3,3,3,3,3,0.579,1,SYNTHETIC_DEMO_DATA
PID-00225,UNIT-12,53.3,8,5,0.52,10.0,0,33.3,False,3,4,4,3,4,0.537,0,SYNTHETIC_DEMO_DATA
PID-00226,UNIT-27,55.2,9,4,0.5,7.3,1,20.0,False,3,2,3,3,2,0.487,0,SYNTHETIC_DEMO_DATA
PID-00227,UNIT-17,87.2,5,11,0.49,4.0,1,15.1,False,3,3,3,4,3,0.656,1,SYNTHETIC_DEMO_DATA
PID-00228,UNIT-20,78.3,3,8,0.46,9.3,2,18.8,False,4,3,3,3,4,0.573,1,SYNTHETIC_DEMO_DATA
PID-00229,UNIT-30,40.1,10,6,0.14,4.0,1,10.1,False,3,4,3,3,3,0.462,0,SYNTHETIC_DEMO_DATA
PID-00230,UNIT-12,48.0,5,8,0.19,2.9,0,19.3,False,2,3,4,3,1,0.437,0,SYNTHETIC_DEMO_DATA
PID-00231,UNIT-24,31.5,4,18,0.31,3.8,1,20.0,False,3,3,5,2,3,0.215,0,SYNTHETIC_DEMO_DATA
PID-00232,UNIT-17,43.7,3,6,0.36,3.3,2,36.9,False,3,4,4,2,2,0.295,0,SYNTHETIC_DEMO_DATA
PID-00233,UNIT-27,56.4,4,6,0.47,2.2,3,25.9,False,3,3,3,4,3,0.558,0,SYNTHETIC_DEMO_DATA
PID-00234,UNIT-16,68.9,0,0,0.33,8.3,1,43.6,True,3,2,3,4,4,0.559,1,SYNTHETIC_DEMO_DATA
PID-00235,UNIT-38,41.8,4,8,0.22,2.7,0,0.0,False,3,4,4,3,2,0.487,0,SYNTHETIC_DEMO_DATA
PID-00236,UNIT-16,42.8,3,12,0.15,4.9,0,7.8,False,2,4,4,3,4,0.343,0,SYNTHETIC_DEMO_DATA
PID-00237,UNIT-05,30.0,6,14,0.28,0.7,2,16.4,False,1,4,4,2,3,0.309,0,SYNTHETIC_DEMO_DATA
PID-00238,UNIT-20,49.7,8,9,0.18,5.1,1,34.9,False,4,4,4,3,3,0.435,0,SYNTHETIC_DEMO_DATA
PID-00239,UNIT-10,37.1,6,14,0.16,1.5,3,18.9,False,2,4,3,2,3,0.426,0,SYNTHETIC_DEMO_DATA
PID-00240,UNIT-19,44.6,6,13,0.19,1.5,1,5.3,False,2,3,3,2,2,0.311,0,SYNTHETIC_DEMO_DATA
PID-00241,UNIT-37,39.7,3,15,0.12,4.7,1,17.5,False,2,4,4,4,2,0.355,0,SYNTHETIC_DEMO_DATA
PID-00242,UNIT-05,50.7,6,14,0.2,8.2,2,8.0,False,3,4,4,2,3,0.45,0,SYNTHETIC_DEMO_DATA
PID-00243,UNIT-02,30.0,7,18,0.31,6.3,0,6.1,False,2,3,4,3,2,0.381,0,SYNTHETIC_DEMO_DATA
PID-00244,UNIT-12,31.5,3,7,0.17,6.5,2,40.0,False,2,3,3,3,3,0.488,0,SYNTHETIC_DEMO_DATA
PID-00245,UNIT-18,81.8,8,1,0.57,4.6,1,16.5,False,3,2,3,4,3,0.665,1,SYNTHETIC_DEMO_DATA
PID-00246,UNIT-06,34.0,6,12,0.37,4.0,2,21.7,False,2,3,3,3,1,0.497,0,SYNTHETIC_DEMO_DATA
PID-00247,UNIT-28,36.6,7,13,0.39,7.4,1,19.1,False,2,4,3,3,3,0.444,0,SYNTHETIC_DEMO_DATA
PID-00248,UNIT-25,77.7,6,18,0.3,3.3,1,17.5,False,3,2,3,3,2,0.447,0,SYNTHETIC_DEMO_DATA
PID-00249,UNIT-29,92.7,9,16,0.09,7.5,1,11.6,False,3,2,4,4,3,0.446,1,SYNTHETIC_DEMO_DATA
PID-00250,UNIT-17,35.6,3,20,0.28,8.7,1,16.9,False,3,3,4,3,2,0.343,0,SYNTHETIC_DEMO_DATA
PID-00251,UNIT-38,46.8,8,12,0.49,2.5,1,23.4,False,3,4,4,3,2,0.423,0,SYNTHETIC_DEMO_DATA
PID-00252,UNIT-27,56.8,6,10,0.13,2.9,2,34.2,False,3,2,4,2,2,0.327,0,SYNTHETIC_DEMO_DATA
PID-00253,UNIT-37,76.2,5,0,0.09,3.4,2,29.5,False,2,3,3,4,4,0.517,0,SYNTHETIC_DEMO_DATA
PID-00254,UNIT-04,38.2,8,10,0.22,0.6,3,7.8,False,4,4,3,3,3,0.442,0,SYNTHETIC_DEMO_DATA
PID-00255,UNIT-27,48.6,6,5,0.15,3.6,1,29.9,False,3,4,3,3,3,0.525,0,SYNTHETIC_DEMO_DATA
PID-00256,UNIT-14,62.9,6,10,0.34,8.9,2,24.8,False,4,3,2,3,3,0.561,1,SYNTHETIC_DEMO_DATA
PID-00257,UNIT-08,58.1,5,9,0.23,1.9,0,13.8,False,3,4,3,2,1,0.328,0,SYNTHETIC_DEMO_DATA
PID-00258,UNIT-08,46.7,11,11,0.45,9.0,0,21.8,False,3,4,2,3,3,0.602,0,SYNTHETIC_DEMO_DATA
PID-00259,UNIT-08,50.1,7,8,0.04,3.7,2,25.7,False,1,3,4,3,2,0.378,0,SYNTHETIC_DEMO_DATA
PID-00260,UNIT-04,32.8,6,14,0.53,11.3,3,20.5,False,2,2,3,3,2,0.58,1,SYNTHETIC_DEMO_DATA
PID-00261,UNIT-19,48.7,5,0,0.2,3.0,1,24.8,True,3,4,3,2,3,0.394,0,SYNTHETIC_DEMO_DATA
PID-00262,UNIT-31,48.3,10,10,0.26,4.6,1,11.4,False,3,4,4,4,2,0.493,0,SYNTHETIC_DEMO_DATA
PID-00263,UNIT-19,55.3,12,16,0.3,2.3,0,39.9,False,2,3,3,3,2,0.526,0,SYNTHETIC_DEMO_DATA
PID-00264,UNIT-06,44.2,2,20,0.09,2.9,2,0.7,False,1,3,4,2,1,0.237,0,SYNTHETIC_DEMO_DATA
PID-00265,UNIT-29,58.6,8,13,0.32,9.0,1,25.8,False,3,3,4,3,3,0.412,0,SYNTHETIC_DEMO_DATA
PID-00266,UNIT-07,66.2,7,19,0.25,6.4,1,23.7,False,2,3,4,3,2,0.421,0,SYNTHETIC_DEMO_DATA
PID-00267,UNIT-35,54.2,5,10,0.32,8.1,0,26.4,False,2,2,4,2,3,0.375,0,SYNTHETIC_DEMO_DATA
PID-00268,UNIT-15,56.9,4,9,0.16,1.1,0,12.9,False,3,4,4,4,2,0.582,1,SYNTHETIC_DEMO_DATA
PID-00269,UNIT-01,52.7,6,12,0.13,7.0,2,31.7,False,2,3,3,3,3,0.432,0,SYNTHETIC_DEMO_DATA
PID-00270,UNIT-12,52.0,4,8,0.06,2.1,1,18.9,False,2,3,4,2,2,0.268,0,SYNTHETIC_DEMO_DATA
PID-00271,UNIT-34,41.9,5,4,0.22,1.0,3,8.1,False,3,4,5,2,3,0.269,0,SYNTHETIC_DEMO_DATA
PID-00272,UNIT-37,56.4,6,5,0.05,5.7,1,9.1,False,3,3,4,4,3,0.506,0,SYNTHETIC_DEMO_DATA
PID-00273,UNIT-17,50.6,4,2,0.87,5.7,1,21.2,False,3,3,3,3,3,0.555,1,SYNTHETIC_DEMO_DATA
PID-00274,UNIT-40,81.3,3,12,0.49,5.2,2,4.0,False,4,2,3,3,4,0.493,0,SYNTHETIC_DEMO_DATA
PID-00275,UNIT-10,74.0,7,9,0.18,7.2,2,38.0,False,2,3,3,3,2,0.525,0,SYNTHETIC_DEMO_DATA
PID-00276,UNIT-17,57.4,7,6,0.16,7.6,2,30.5,False,2,3,3,3,2,0.604,1,SYNTHETIC_DEMO_DATA
PID-00277,UNIT-19,41.3,2,5,0.3,9.4,1,38.3,False,2,4,3,3,2,0.485,0,SYNTHETIC_DEMO_DATA
PID-00278,UNIT-09,36.4,5,12,0.13,1.4,0,37.2,False,1,3,4,2,2,0.309,0,SYNTHETIC_DEMO_DATA
PID-00279,UNIT-16,68.7,4,13,0.61,9.5,2,16.5,False,3,4,3,3,3,0.64,0,SYNTHETIC_DEMO_DATA
PID-00280,UNIT-20,55.7,3,2,0.24,10.6,0,11.3,False,2,3,2,5,3,0.634,0,SYNTHETIC_DEMO_DATA
PID-00281,UNIT-28,58.7,4,1,0.26,3.9,2,0.0,False,2,1,4,4,3,0.48,0,SYNTHETIC_DEMO_DATA
PID-00282,UNIT-20,30.0,7,14,0.23,0.0,1,15.9,False,2,4,4,3,2,0.328,0,SYNTHETIC_DEMO_DATA
PID-00283,UNIT-05,65.0,2,0,0.21,0.8,2,37.7,True,3,4,2,5,2,0.616,0,SYNTHETIC_DEMO_DATA
PID-00284,UNIT-19,58.4,7,12,0.25,3.6,2,11.7,False,3,4,3,3,2,0.384,0,SYNTHETIC_DEMO_DATA
PID-00285,UNIT-34,36.5,6,18,0.16,11.0,0,17.9,False,3,3,4,3,3,0.41,0,SYNTHETIC_DEMO_DATA
PID-00286,UNIT-01,45.4,6,18,0.29,5.1,1,14.5,False,2,4,4,2,3,0.35,0,SYNTHETIC_DEMO_DATA
PID-00287,UNIT-40,55.7,3,13,0.63,3.1,1,23.7,False,3,3,4,2,2,0.365,1,SYNTHETIC_DEMO_DATA
PID-00288,UNIT-06,52.7,8,13,0.29,2.9,0,32.9,False,3,4,4,1,3,0.297,0,SYNTHETIC_DEMO_DATA
PID-00289,UNIT-01,47.9,9,22,0.43,1.0,0,4.6,False,2,3,3,3,2,0.429,0,SYNTHETIC_DEMO_DATA
PID-00290,UNIT-06,50.6,4,0,0.09,7.6,0,6.5,True,3,3,4,2,3,0.313,0,SYNTHETIC_DEMO_DATA
PID-00291,UNIT-11,48.5,3,6,0.36,4.7,0,34.9,False,2,4,4,3,2,0.434,0,SYNTHETIC_DEMO_DATA
PID-00292,UNIT-15,54.1,5,14,0.33,11.3,2,27.3,False,3,3,3,3,4,0.54,0,SYNTHETIC_DEMO_DATA
PID-00293,UNIT-34,72.6,9,6,0.51,6.9,1,17.4,False,4,4,3,3,3,0.468,1,SYNTHETIC_DEMO_DATA
PID-00294,UNIT-24,30.0,3,16,0.3,7.5,0,37.1,False,3,5,3,2,1,0.432,0,SYNTHETIC_DEMO_DATA
PID-00295,UNIT-26,48.7,5,8,0.15,4.3,1,6.3,False,3,3,3,4,3,0.45,0,SYNTHETIC_DEMO_DATA
PID-00296,UNIT-36,54.5,9,9,0.23,1.7,1,29.3,False,3,3,4,3,4,0.362,0,SYNTHETIC_DEMO_DATA
PID-00297,UNIT-06,56.1,6,7,0.4,2.4,2,19.3,False,3,3,3,3,3,0.495,0,SYNTHETIC_DEMO_DATA
PID-00298,UNIT-09,46.8,2,5,0.35,0.9,1,26.1,False,2,4,5,2,2,0.329,0,SYNTHETIC_DEMO_DATA
PID-00299,UNIT-39,30.0,7,5,0.51,7.7,0,0.0,False,2,4,2,3,3,0.553,0,SYNTHETIC_DEMO_DATA
PID-00300,UNIT-31,56.6,2,10,0.11,3.8,0,17.4,False,2,5,5,2,4,0.324,0,SYNTHETIC_DEMO_DATA
PID-00301,UNIT-03,76.2,10,4,0.14,7.9,4,27.4,False,3,3,3,3,4,0.543,0,SYNTHETIC_DEMO_DATA
PID-00302,UNIT-10,30.5,2,14,0.07,5.4,5,19.4,False,3,4,4,3,1,0.407,0,SYNTHETIC_DEMO_DATA
PID-00303,UNIT-15,64.1,7,12,0.23,4.1,3,32.6,False,3,3,3,4,3,0.54,0,SYNTHETIC_DEMO_DATA
PID-00304,UNIT-02,47.4,7,15,0.07,1.5,0,32.2,False,3,2,4,2,2,0.312,0,SYNTHETIC_DEMO_DATA
PID-00305,UNIT-24,51.1,2,2,0.17,5.9,4,10.4,False,4,3,4,3,2,0.468,0,SYNTHETIC_DEMO_DATA
PID-00306,UNIT-26,37.3,7,0,0.28,4.3,1,28.2,True,3,3,3,3,3,0.444,0,SYNTHETIC_DEMO_DATA
PID-00307,UNIT-14,47.3,6,8,0.16,7.7,0,10.1,False,2,4,4,3,3,0.407,0,SYNTHETIC_DEMO_DATA
PID-00308,UNIT-09,70.2,4,26,0.06,2.9,1,20.5,False,2,3,4,3,3,0.289,0,SYNTHETIC_DEMO_DATA
PID-00309,UNIT-18,60.2,2,16,0.2,6.8,2,26.6,False,2,3,4,3,2,0.473,0,SYNTHETIC_DEMO_DATA
PID-00310,UNIT-37,76.3,11,5,0.29,9.9,1,11.6,False,4,3,1,3,4,0.658,1,SYNTHETIC_DEMO_DATA
PID-00311,UNIT-29,68.5,4,11,0.15,5.8,1,27.9,False,3,3,3,2,2,0.306,0,SYNTHETIC_DEMO_DATA
PID-00312,UNIT-38,58.1,6,13,0.22,7.4,2,14.9,False,3,3,4,4,3,0.551,0,SYNTHETIC_DEMO_DATA
PID-00313,UNIT-23,76.4,8,0,0.13,6.7,0,14.2,True,4,4,4,3,4,0.484,1,SYNTHETIC_DEMO_DATA
PID-00314,UNIT-05,58.1,3,17,0.45,10.7,0,27.1,False,2,4,4,3,2,0.404,0,SYNTHETIC_DEMO_DATA
PID-00315,UNIT-03,63.6,4,7,0.3,6.1,1,11.6,False,3,3,3,3,2,0.446,0,SYNTHETIC_DEMO_DATA
PID-00316,UNIT-08,47.8,7,8,0.66,7.1,0,11.1,False,2,4,4,3,4,0.426,0,SYNTHETIC_DEMO_DATA
PID-00317,UNIT-21,52.9,8,9,0.44,4.9,1,30.4,False,3,4,3,3,3,0.443,0,SYNTHETIC_DEMO_DATA
PID-00318,UNIT-09,42.2,2,15,0.15,2.7,0,21.1,False,2,4,4,3,3,0.317,0,SYNTHETIC_DEMO_DATA
PID-00319,UNIT-13,65.9,3,4,0.13,1.4,1,5.5,False,3,3,4,2,2,0.449,1,SYNTHETIC_DEMO_DATA
PID-00320,UNIT-37,35.5,9,0,0.69,8.8,2,28.6,False,2,3,3,3,3,0.558,1,SYNTHETIC_DEMO_DATA
PID-00321,UNIT-02,63.0,5,10,0.26,2.0,1,15.9,False,2,3,4,3,3,0.524,0,SYNTHETIC_DEMO_DATA
PID-00322,UNIT-04,49.3,3,0,0.32,7.2,0,6.0,False,3,3,3,4,3,0.56,0,SYNTHETIC_DEMO_DATA
PID-00323,UNIT-16,68.4,8,7,0.48,6.2,1,0.0,False,3,4,3,4,2,0.619,1,SYNTHETIC_DEMO_DATA
PID-00324,UNIT-31,62.5,12,16,0.55,7.8,3,29.0,False,3,3,4,3,5,0.458,1,SYNTHETIC_DEMO_DATA
PID-00325,UNIT-33,77.5,6,12,0.21,3.5,2,11.4,False,3,3,4,3,3,0.45,0,SYNTHETIC_DEMO_DATA
PID-00326,UNIT-12,62.2,9,15,0.18,2.6,2,7.6,False,3,3,3,3,2,0.463,0,SYNTHETIC_DEMO_DATA
PID-00327,UNIT-12,30.0,0,12,0.4,6.1,0,26.4,False,2,3,3,1,2,0.331,0,SYNTHETIC_DEMO_DATA
PID-00328,UNIT-24,51.1,14,23,0.06,4.1,0,28.1,False,2,4,4,3,3,0.38,0,SYNTHETIC_DEMO_DATA
PID-00329,UNIT-35,35.6,7,5,0.26,1.3,1,12.1,False,2,4,3,3,3,0.451,0,SYNTHETIC_DEMO_DATA
PID-00330,UNIT-08,44.7,4,11,0.26,10.8,0,29.1,False,3,3,2,4,3,0.59,0,SYNTHETIC_DEMO_DATA
PID-00331,UNIT-36,73.2,2,6,0.41,2.6,0,40.5,False,2,4,4,4,3,0.492,1,SYNTHETIC_DEMO_DATA
PID-00332,UNIT-33,60.9,7,14,0.23,2.0,2,33.5,False,2,3,3,2,2,0.382,0,SYNTHETIC_DEMO_DATA
PID-00333,UNIT-11,42.2,6,8,0.31,4.3,2,31.9,False,2,3,3,3,3,0.433,1,SYNTHETIC_DEMO_DATA
PID-00334,UNIT-27,37.8,11,19,0.29,8.8,2,23.1,False,3,4,2,2,2,0.505,0,SYNTHETIC_DEMO_DATA
PID-00335,UNIT-26,52.5,10,5,0.14,0.0,1,15.6,False,3,4,4,3,3,0.395,0,SYNTHETIC_DEMO_DATA
PID-00336,UNIT-01,35.0,7,17,0.18,8.5,0,19.4,False,3,3,4,3,2,0.408,0,SYNTHETIC_DEMO_DATA
PID-00337,UNIT-17,42.6,11,12,0.32,2.3,2,24.4,False,2,3,3,2,3,0.39,0,SYNTHETIC_DEMO_DATA
PID-00338,UNIT-10,56.4,5,8,0.61,5.8,0,7.4,False,3,3,3,3,3,0.55,0,SYNTHETIC_DEMO_DATA
PID-00339,UNIT-03,68.2,5,12,0.23,3.0,3,12.3,False,3,3,4,4,3,0.411,0,SYNTHETIC_DEMO_DATA
PID-00340,UNIT-19,60.5,2,10,0.19,11.0,3,5.7,False,3,4,3,4,3,0.597,0,SYNTHETIC_DEMO_DATA
PID-00341,UNIT-29,30.0,4,11,0.34,5.4,1,22.4,False,2,4,2,3,3,0.411,0,SYNTHETIC_DEMO_DATA
PID-00342,UNIT-22,56.3,9,7,0.15,2.9,0,20.8,False,2,4,3,3,2,0.477,0,SYNTHETIC_DEMO_DATA
PID-00343,UNIT-04,53.0,8,4,0.32,4.1,1,13.5,False,3,3,2,2,3,0.46,0,SYNTHETIC_DEMO_DATA
PID-00344,UNIT-34,57.8,6,6,0.28,5.3,0,28.2,False,2,3,4,4,2,0.425,0,SYNTHETIC_DEMO_DATA
PID-00345,UNIT-03,74.6,5,0,0.43,5.5,1,9.6,False,4,3,3,4,3,0.618,0,SYNTHETIC_DEMO_DATA
PID-00346,UNIT-16,30.0,4,14,0.16,6.3,0,13.1,False,2,3,5,2,2,0.279,0,SYNTHETIC_DEMO_DATA
PID-00347,UNIT-23,43.7,5,1,0.23,5.0,1,27.8,True,3,4,2,3,3,0.5,1,SYNTHETIC_DEMO_DATA
PID-00348,UNIT-38,60.3,4,7,0.53,0.9,3,29.3,False,1,1,3,3,2,0.492,0,SYNTHETIC_DEMO_DATA
PID-00349,UNIT-31,30.0,7,12,0.57,4.0,0,12.0,False,3,3,3,3,3,0.445,0,SYNTHETIC_DEMO_DATA
PID-00350,UNIT-08,72.7,8,14,0.13,6.8,1,22.3,False,2,4,5,4,3,0.535,1,SYNTHETIC_DEMO_DATA
PID-00351,UNIT-18,57.2,4,0,0.33,3.0,2,12.2,False,2,3,4,4,3,0.502,0,SYNTHETIC_DEMO_DATA
PID-00352,UNIT-35,63.9,4,8,0.72,7.0,2,18.0,False,3,3,4,3,3,0.553,1,SYNTHETIC_DEMO_DATA
PID-00353,UNIT-10,44.0,5,11,0.56,5.1,0,21.4,False,3,5,4,4,3,0.481,0,SYNTHETIC_DEMO_DATA
PID-00354,UNIT-37,63.4,4,9,0.36,4.3,1,25.6,False,3,3,3,4,3,0.611,0,SYNTHETIC_DEMO_DATA
PID-00355,UNIT-22,67.0,3,17,0.26,8.6,2,23.2,False,3,4,3,3,2,0.486,0,SYNTHETIC_DEMO_DATA
PID-00356,UNIT-26,55.3,4,4,0.29,0.0,3,22.7,False,2,5,3,2,3,0.379,0,SYNTHETIC_DEMO_DATA
PID-00357,UNIT-27,55.3,16,0,0.04,3.0,1,9.2,False,3,3,3,3,3,0.438,0,SYNTHETIC_DEMO_DATA
PID-00358,UNIT-39,55.8,12,13,0.12,8.7,1,23.9,False,3,3,4,4,4,0.511,0,SYNTHETIC_DEMO_DATA
PID-00359,UNIT-28,39.9,7,5,0.44,10.5,2,25.5,False,3,3,4,3,3,0.441,1,SYNTHETIC_DEMO_DATA
PID-00360,UNIT-17,49.9,5,0,0.18,11.9,1,26.9,True,2,4,3,3,2,0.594,0,SYNTHETIC_DEMO_DATA
PID-00361,UNIT-24,49.9,6,8,0.21,5.2,0,12.8,False,3,3,3,3,2,0.412,0,SYNTHETIC_DEMO_DATA
PID-00362,UNIT-28,57.4,5,16,0.15,6.4,2,29.2,False,3,3,3,3,2,0.434,0,SYNTHETIC_DEMO_DATA
PID-00363,UNIT-24,66.0,8,1,0.09,7.5,1,6.8,True,4,4,3,3,4,0.548,0,SYNTHETIC_DEMO_DATA
PID-00364,UNIT-01,37.2,7,23,0.11,8.8,1,15.7,False,2,4,5,2,3,0.345,0,SYNTHETIC_DEMO_DATA
PID-00365,UNIT-37,50.2,9,3,0.29,5.9,1,17.2,False,3,4,4,3,3,0.494,0,SYNTHETIC_DEMO_DATA
PID-00366,UNIT-11,72.7,2,9,0.33,7.8,2,7.4,False,4,3,4,3,3,0.538,1,SYNTHETIC_DEMO_DATA
PID-00367,UNIT-27,41.6,6,1,0.09,6.4,1,17.1,True,3,4,4,2,3,0.365,0,SYNTHETIC_DEMO_DATA
PID-00368,UNIT-23,40.5,3,9,0.18,6.6,1,22.2,False,3,3,4,4,3,0.465,0,SYNTHETIC_DEMO_DATA
PID-00369,UNIT-05,54.8,7,8,0.18,2.2,1,1.7,False,3,3,4,3,3,0.516,0,SYNTHETIC_DEMO_DATA
PID-00370,UNIT-36,63.8,4,0,0.14,4.0,0,16.1,False,3,4,3,4,3,0.625,0,SYNTHETIC_DEMO_DATA
PID-00371,UNIT-04,52.2,7,25,0.23,3.4,1,2.5,False,3,3,4,3,2,0.416,0,SYNTHETIC_DEMO_DATA
PID-00372,UNIT-39,70.6,8,6,0.42,1.4,1,40.4,False,3,3,4,3,3,0.516,1,SYNTHETIC_DEMO_DATA
PID-00373,UNIT-37,64.0,5,6,0.31,0.0,2,22.1,False,2,4,3,3,3,0.519,0,SYNTHETIC_DEMO_DATA
PID-00374,UNIT-24,63.8,9,14,0.22,3.7,1,21.3,False,3,2,3,3,4,0.411,0,SYNTHETIC_DEMO_DATA
PID-00375,UNIT-39,59.8,6,19,0.28,4.2,1,22.3,False,2,4,4,3,3,0.411,0,SYNTHETIC_DEMO_DATA
PID-00376,UNIT-35,84.6,3,15,0.48,5.3,1,26.0,False,3,4,3,3,4,0.591,0,SYNTHETIC_DEMO_DATA
PID-00377,UNIT-36,49.1,8,1,0.29,6.7,0,29.8,True,3,3,4,2,3,0.429,1,SYNTHETIC_DEMO_DATA
PID-00378,UNIT-32,30.0,4,10,0.34,5.6,0,4.4,False,2,3,5,2,2,0.284,0,SYNTHETIC_DEMO_DATA
PID-00379,UNIT-38,74.5,0,0,0.17,4.2,3,33.1,True,3,3,3,4,3,0.656,0,SYNTHETIC_DEMO_DATA
PID-00380,UNIT-31,45.6,6,14,0.09,2.3,0,32.5,False,2,3,5,2,3,0.285,0,SYNTHETIC_DEMO_DATA
PID-00381,UNIT-36,53.5,6,0,0.02,7.6,3,19.3,True,3,3,3,2,2,0.491,1,SYNTHETIC_DEMO_DATA
PID-00382,UNIT-05,70.3,7,4,0.17,4.7,1,18.8,False,4,3,3,3,4,0.524,0,SYNTHETIC_DEMO_DATA
PID-00383,UNIT-18,30.0,6,8,0.28,3.7,1,0.0,False,2,3,5,2,2,0.318,0,SYNTHETIC_DEMO_DATA
PID-00384,UNIT-20,34.5,10,11,0.26,4.4,1,7.6,False,2,4,5,3,4,0.394,0,SYNTHETIC_DEMO_DATA
PID-00385,UNIT-37,30.0,7,7,0.06,2.8,3,25.2,False,4,5,3,3,2,0.499,0,SYNTHETIC_DEMO_DATA
PID-00386,UNIT-20,40.9,8,18,0.12,3.4,2,32.0,False,1,4,4,3,3,0.456,0,SYNTHETIC_DEMO_DATA
PID-00387,UNIT-18,58.2,5,13,0.36,3.3,1,27.3,False,3,4,3,2,4,0.381,0,SYNTHETIC_DEMO_DATA
PID-00388,UNIT-32,59.3,3,12,0.24,4.1,1,19.2,False,4,4,4,4,2,0.497,0,SYNTHETIC_DEMO_DATA
